Epoch,Training Loss,Validation Loss,Accuracy,F1,Precision,Recall
1,1.583700,1.547515,0.376000,0.150913,0.169084,0.213494
2,1.288900,1.138839,0.567500,0.248346,0.497481,0.309386
3,0.978100,0.783964,0.739500,0.501998,0.473072,0.536312
4,0.554700,0.370611,0.870000,0.814747,0.844227,0.794520
5,0.293200,0.293727,0.884500,0.850988,0.849190,0.854632
6,0.223600,0.279480,0.891000,0.859101,0.884229,0.840814
7,0.180400,0.303028,0.889000,0.859742,0.867063,0.861653
8,0.152300,0.263301,0.898000,0.868266,0.868188,0.869382
9,0.131600,0.277108,0.900000,0.869025,0.880794,0.861396
10,0.114500,0.267750,0.901000,0.871079,0.868216,0.874439
